rect,N,seed,Shat
narrow,34600,123456,0.9449783237
narrow,35100,123456,0.9448361823
narrow,35600,123456,0.9450491573
narrow,36100,123456,0.9450831025
narrow,36600,123456,0.9451161202
narrow,37100,123456,0.9452493261
narrow,37600,123456,0.9452127660
narrow,38100,123456,0.9453083990
narrow,38600,123456,0.9451424870
narrow,39100,123456,0.9450447570
narrow,39600,123456,0.9451388889
narrow,40100,123456,0.9451995012
narrow,40600,123456,0.9448275862
narrow,41100,123456,0.9451946472
narrow,41600,123456,0.9454927885
narrow,42100,123456,0.9451009501
narrow,42600,123456,0.9454518779
narrow,43100,123456,0.9454756381
narrow,43600,123456,0.9455848624
narrow,44100,123456,0.9447845805
narrow,44600,123456,0.9446188341
narrow,45100,123456,0.9442627494
narrow,45600,123456,0.9444627193
narrow,46100,123456,0.9445770065
narrow,46600,123456,0.9449302575
narrow,47100,123456,0.9449575372
narrow,47600,123456,0.9450105042
narrow,48100,123456,0.9450883576
narrow,48600,123456,0.9451646091
narrow,49100,123456,0.9451374745
narrow,49600,123456,0.9450352823
narrow,50100,123456,0.9446357285
narrow,50600,123456,0.9442934783
narrow,51100,123456,0.9440557730
narrow,51600,123456,0.9439680233
narrow,52100,123456,0.9441938580
narrow,52600,123456,0.9445104563
narrow,53100,123456,0.9444915254
narrow,53600,123456,0.9440298507
narrow,54100,123456,0.9441312384
narrow,54600,123456,0.9444826007
narrow,55100,123456,0.9443965517
narrow,55600,123456,0.9440872302
narrow,56100,123456,0.9444073084
narrow,56600,123456,0.9443683746
narrow,57100,123456,0.9442863398
narrow,57600,123456,0.9443142361
narrow,58100,123456,0.9441910499
narrow,58600,123456,0.9441552901
narrow,59100,123456,0.9437605753
narrow,59600,123456,0.9436661074
narrow,60100,123456,0.9434068220
narrow,60600,123456,0.9436468647
narrow,61100,123456,0.9433919804
narrow,61600,123456,0.9437500000
narrow,62100,123456,0.9437801932
narrow,62600,123456,0.9439496805
narrow,63100,123456,0.9437004754
narrow,63600,123456,0.9436910377
narrow,64100,123456,0.9435842434
narrow,64600,123456,0.9432662539
narrow,65100,123456,0.9431067588
narrow,65600,123456,0.9429687500
narrow,66100,123456,0.9427004539
narrow,66600,123456,0.9426051051
narrow,67100,123456,0.9426415797
narrow,67600,123456,0.9427144970
narrow,68100,123456,0.9427129222
narrow,68600,123456,0.9427478134
narrow,69100,123456,0.9425470333
narrow,69600,123456,0.9426364943
narrow,70100,123456,0.9428316690
narrow,70600,123456,0.9428647309
narrow,71100,123456,0.9428973277
narrow,71600,123456,0.9429818436
narrow,72100,123456,0.9432905687
narrow,72600,123456,0.9431301653
narrow,73100,123456,0.9433139535
narrow,73600,123456,0.9430706522
narrow,74100,123456,0.9430668016
narrow,74600,123456,0.9429457105
narrow,75100,123456,0.9428428762
narrow,75600,123456,0.9428902116
narrow,76100,123456,0.9429697766
narrow,76600,123456,0.9430646214
narrow,77100,123456,0.9428826200
narrow,77600,123456,0.9425579897
narrow,78100,123456,0.9424295775
narrow,78600,123456,0.9424300254
narrow,79100,123456,0.9424778761
narrow,79600,123456,0.9424780151
narrow,80100,123456,0.9422284644
narrow,80600,123456,0.9420905707
narrow,81100,123456,0.9420468557
narrow,81600,123456,0.9420189951
narrow,82100,123456,0.9421894032
narrow,82600,123456,0.9423880145
narrow,83100,123456,0.9422683514
narrow,83600,123456,0.9423893541
narrow,84100,123456,0.9427467301
narrow,84600,123456,0.9425384161
narrow,85100,123456,0.9424794360
narrow,85600,123456,0.9423919393
narrow,86100,123456,0.9423780488
narrow,86600,123456,0.9424653580
narrow,87100,123456,0.9423076923
narrow,87600,123456,0.9422517123
narrow,88100,123456,0.9422389330
narrow,88600,123456,0.9423391648
narrow,89100,123456,0.9424242424
narrow,89600,123456,0.9424804688
narrow,90100,123456,0.9427441731
